date,turnover,event
2025-01-03,0.30000000000000004,rebalance
2025-01-10,0.30276101275773665,rebalance
2025-01-17,0.30583642867933175,rebalance
2025-01-24,0.3018140710856104,rebalance
2025-01-31,0.29932376785894743,rebalance
2025-02-07,0.40025967102528,rebalance
2025-02-14,0.2094867557581962,rebalance
2025-02-21,0.5,rebalance
2025-02-28,0.3967141956250247,rebalance
2025-03-07,0.6000000000000001,rebalance
2025-03-14,0.600111821302936,rebalance
2025-03-21,0.30000000000000004,rebalance
2025-03-28,0.6000000000000001,rebalance
2025-04-04,0.48381754986409325,rebalance
2025-04-11,0.2942725103440178,rebalance
2025-04-25,0.6000000000000001,rebalance
2025-05-02,0.20346180530903069,rebalance
2025-05-09,0.6022655851990004,rebalance
2025-05-16,0.6000000000000001,rebalance
2025-05-23,0.602045498136657,rebalance
2025-05-30,0.6012213204806217,rebalance
2025-06-06,0.6000000000000001,rebalance
2025-06-13,0.6007790550298773,rebalance
2025-06-20,0.5894523430394526,rebalance
2025-06-27,0.6000000000000001,rebalance
2025-07-11,0.6003241471144691,rebalance
2025-07-18,0.6000000000000001,rebalance
2025-07-25,0.6000000000000001,rebalance
2025-08-01,0.4924451864767423,rebalance
2025-08-08,0.3988348721910774,rebalance
2025-08-15,0.4,rebalance
2025-08-22,0.2055532387704247,rebalance
2025-08-29,0.11156950853468835,rebalance
2025-09-05,0.21411718952406875,rebalance
2025-09-12,0.39999999999999997,rebalance
2025-09-19,0.30999888082794247,rebalance
2025-09-26,0.6000000000000001,rebalance
2025-10-03,0.6066367599927559,rebalance
2025-10-10,0.5018534354360294,rebalance
2025-10-17,0.6086182240590525,rebalance
2025-10-24,0.40487204980403835,rebalance
2025-10-31,0.40617327117721286,rebalance
2025-11-07,0.4839876681677768,rebalance
2025-11-14,0.6000000000000001,rebalance
2025-11-21,0.6000000000000002,rebalance
2025-11-28,0.40897506560927194,rebalance
2025-12-05,0.30021769355252564,rebalance
2025-12-12,0.6000000000000001,rebalance
2025-12-19,0.6005836484692668,rebalance
2025-12-26,0.21992207831252303,rebalance
2026-01-02,0.5,rebalance
2026-01-09,0.5110736817308498,rebalance
2026-01-16,0.21747261881733737,rebalance
2026-01-23,0.32868610881025856,rebalance
2026-01-30,0.6000000000000001,rebalance
2026-02-06,0.6091310497281163,rebalance
2026-02-13,0.30219911355883977,rebalance
2026-02-20,0.40333248336938043,rebalance
2026-02-27,0.4064158635300141,rebalance
2026-03-06,0.5,rebalance
2026-03-13,0.2937060875111901,rebalance
2026-03-20,0.009749050083562846,rebalance
2026-03-27,0.3941929786459032,rebalance
