date,selected_non_cash_count,buy_now_count,wait_for_pullback_count,do_not_buy_count,sgov_weight
2025-01-03,0,0,0,0,1.0
2025-01-10,0,0,0,0,1.0
2025-01-17,0,0,0,0,1.0
2025-01-24,0,0,0,0,1.0
2025-01-31,0,0,0,0,1.0
2025-02-07,0,0,0,0,1.0
2025-02-14,0,0,0,0,1.0
2025-02-21,0,0,0,0,1.0
2025-02-28,0,0,0,0,1.0
2025-03-07,0,0,0,0,1.0
2025-03-14,0,0,0,0,1.0
2025-03-21,0,0,0,0,1.0
2025-03-28,0,0,0,0,1.0
2025-03-31,4,4,0,0,0.19999999999999996
2025-04-04,4,0,1,3,0.9
2025-04-11,4,1,2,1,0.6
2025-04-25,4,1,3,0,0.6
2025-05-02,4,0,3,1,0.7
2025-05-09,4,0,4,0,0.7000000000000001
2025-05-16,4,0,4,0,0.7
2025-05-23,4,0,4,0,0.7000000000000001
2025-05-30,4,0,3,1,0.7000000000000001
2025-06-06,4,1,3,0,0.6
2025-06-13,4,2,1,1,0.5
2025-06-20,4,0,4,0,0.7000000000000001
2025-06-27,4,0,2,2,0.8
2025-06-30,4,4,0,0,0.19999999999999996
2025-07-11,4,2,2,0,0.39999999999999997
2025-07-18,4,0,3,1,0.7
2025-07-25,4,2,2,0,0.3999999999999999
2025-08-01,4,0,2,2,0.8
2025-08-08,4,2,2,0,0.3999999999999999
2025-08-15,4,2,2,0,0.3999999999999999
2025-08-22,4,2,2,0,0.39999999999999997
2025-08-29,4,0,2,2,0.8
2025-09-05,4,0,4,0,0.7
2025-09-12,4,0,4,0,0.7
2025-09-19,4,0,4,0,0.7
2025-09-26,4,0,4,0,0.7
2025-09-30,4,4,0,0,0.19999999999999996
2025-10-03,4,1,3,0,0.5
2025-10-10,4,0,4,0,0.7000000000000001
2025-10-17,4,0,3,1,0.7
2025-10-24,4,0,3,1,0.7000000000000001
2025-10-31,4,0,4,0,0.7000000000000001
2025-11-07,4,0,2,2,0.8
2025-11-14,4,2,1,1,0.5
2025-11-21,4,0,4,0,0.7
2025-11-28,4,0,4,0,0.7000000000000001
2025-12-05,4,1,3,0,0.5
2025-12-12,4,0,4,0,0.7
2025-12-19,4,2,2,0,0.4
2025-12-26,4,0,4,0,0.7
2025-12-31,4,2,2,0,0.39999999999999997
2026-01-02,4,2,2,0,0.39999999999999997
2026-01-09,4,2,2,0,0.39999999999999997
2026-01-16,4,2,2,0,0.4
2026-01-23,4,1,3,0,0.5
2026-01-30,4,0,2,2,0.8
2026-02-06,4,0,4,0,0.7000000000000001
2026-02-13,4,0,4,0,0.7
2026-02-20,4,0,4,0,0.7
2026-02-27,4,1,3,0,0.5
2026-03-06,4,0,3,1,0.7
2026-03-13,4,0,1,3,0.9
2026-03-20,4,0,1,3,0.9
2026-03-27,4,0,4,0,0.7
2026-03-31,4,3,1,0,0.29999999999999993
