date,selected_non_cash_count,buy_now_count,wait_for_pullback_count,do_not_buy_count,sgov_weight
2025-01-03,4,0,4,0,0.19999999999999996
2025-01-10,4,1,3,0,0.19999999999999996
2025-01-17,4,2,2,0,0.19999999999999996
2025-01-24,4,1,3,0,0.19999999999999996
2025-01-31,4,3,1,0,0.19999999999999996
2025-02-07,4,4,0,0,0.19999999999999996
2025-02-14,4,3,1,0,0.19999999999999996
2025-02-21,4,2,2,0,0.19999999999999996
2025-02-28,4,1,3,0,0.19999999999999996
2025-03-07,4,4,0,0,0.19999999999999996
2025-03-14,4,0,4,0,0.19999999999999996
2025-03-21,4,1,3,0,0.19999999999999996
2025-03-28,4,4,0,0,0.19999999999999996
2025-04-04,4,0,3,1,0.19999999999999996
2025-04-11,4,1,3,0,0.19999999999999996
2025-04-25,4,3,1,0,0.19999999999999996
2025-05-02,4,4,0,0,0.19999999999999996
2025-05-09,4,3,1,0,0.19999999999999996
2025-05-16,4,4,0,0,0.19999999999999996
2025-05-23,4,4,0,0,0.19999999999999996
2025-05-30,4,2,2,0,0.19999999999999996
2025-06-06,4,4,0,0,0.19999999999999996
2025-06-13,4,4,0,0,0.19999999999999996
2025-06-20,4,2,2,0,0.19999999999999996
2025-06-27,4,4,0,0,0.19999999999999996
2025-07-11,4,2,2,0,0.19999999999999996
2025-07-18,4,3,1,0,0.19999999999999996
2025-07-25,4,4,0,0,0.19999999999999996
2025-08-01,4,2,2,0,0.19999999999999996
2025-08-08,4,3,1,0,0.19999999999999996
2025-08-15,4,4,0,0,0.19999999999999996
2025-08-22,4,4,0,0,0.19999999999999996
2025-08-29,4,3,1,0,0.19999999999999996
2025-09-05,4,1,3,0,0.19999999999999996
2025-09-12,4,3,1,0,0.19999999999999996
2025-09-19,4,2,2,0,0.19999999999999996
2025-09-26,4,4,0,0,0.19999999999999996
2025-10-03,4,3,1,0,0.19999999999999996
2025-10-10,4,3,1,0,0.19999999999999996
2025-10-17,4,3,1,0,0.19999999999999996
2025-10-24,4,4,0,0,0.19999999999999996
2025-10-31,4,3,1,0,0.19999999999999996
2025-11-07,4,1,3,0,0.19999999999999996
2025-11-14,4,4,0,0,0.19999999999999996
2025-11-21,4,4,0,0,0.19999999999999996
2025-11-28,4,2,2,0,0.19999999999999996
2025-12-05,4,2,2,0,0.19999999999999996
2025-12-12,4,3,1,0,0.19999999999999996
2025-12-19,4,3,1,0,0.19999999999999996
2025-12-26,4,1,3,0,0.19999999999999996
2026-01-02,4,3,1,0,0.19999999999999996
2026-01-09,4,2,2,0,0.19999999999999996
2026-01-16,4,3,1,0,0.19999999999999996
2026-01-23,4,0,4,0,0.19999999999999996
2026-01-30,4,3,1,0,0.19999999999999996
2026-02-06,4,3,1,0,0.19999999999999996
2026-02-13,4,3,1,0,0.19999999999999996
2026-02-20,4,2,2,0,0.19999999999999996
2026-02-27,4,0,4,0,0.19999999999999996
2026-03-06,4,2,2,0,0.19999999999999996
2026-03-13,4,1,3,0,0.19999999999999996
2026-03-20,4,1,3,0,0.19999999999999996
2026-03-27,4,3,1,0,0.19999999999999996
