date,selected_non_cash_count,buy_now_count,wait_for_pullback_count,do_not_buy_count,sgov_weight
2025-01-03,0,0,0,0,1.0
2025-01-10,0,0,0,0,1.0
2025-01-17,0,0,0,0,1.0
2025-01-24,0,0,0,0,1.0
2025-01-31,6,4,2,0,0.14275454675861066
2025-02-07,6,6,0,0,0.0
2025-02-14,6,5,1,0,0.10000000000000009
2025-02-21,6,1,1,4,0.8270582831433859
2025-02-28,6,2,4,0,0.43591436230505964
2025-03-07,6,0,6,0,0.7000000000000001
2025-03-14,6,1,5,0,0.5000000000000001
2025-03-21,6,1,5,0,0.5
2025-03-28,6,4,0,2,0.27314489366842576
2025-03-31,6,6,0,0,0.0
2025-04-04,6,0,1,5,0.9
2025-04-11,6,1,3,2,0.568677259241554
2025-04-25,6,1,5,0,0.5
2025-04-30,6,5,1,0,0.09999999999999998
2025-05-02,6,5,1,0,0.025117006489662308
2025-05-09,6,4,2,0,0.12669685198258196
2025-05-16,6,2,4,0,0.3123506485636337
2025-05-23,6,4,2,0,0.10839390889851305
2025-05-30,6,3,3,0,0.29545463272216665
2025-06-06,6,2,3,1,0.49705931174936185
2025-06-13,6,1,5,0,0.6909934536969248
2025-06-20,6,1,2,3,0.7901341033726532
2025-06-27,6,2,4,0,0.4858581573543889
2025-06-30,6,6,0,0,0.0
2025-07-11,6,2,4,0,0.40744272004210824
2025-07-18,6,0,5,1,0.7238601883328845
2025-07-25,6,3,3,0,0.21888414933177452
2025-07-31,6,1,5,0,0.6280714834617567
2025-08-01,6,1,3,2,0.6417688354089033
2025-08-08,6,3,3,0,0.2690994518121439
2025-08-15,6,3,3,0,0.21605093728742758
2025-08-22,6,1,5,0,0.512964108861533
2025-08-29,6,0,4,2,0.7000000000000001
2025-09-05,6,1,4,1,0.5151917134578408
2025-09-12,6,4,2,0,0.17014798303760692
2025-09-19,6,1,5,0,0.5021342811673782
2025-09-26,6,3,3,0,0.2440067101599681
2025-09-30,6,6,0,0,0.0
2025-10-03,6,1,5,0,0.5618061590408154
2025-10-10,6,0,6,0,0.7163349398538374
2025-10-17,6,0,5,1,0.7311942585290327
2025-10-24,6,0,5,1,0.7203842615337571
2025-10-31,6,4,2,0,0.20000000000000007
2025-11-07,6,1,5,0,0.6016578422864296
2025-11-14,6,2,3,1,0.47179373938251384
2025-11-21,6,2,3,1,0.38354184659842616
2025-11-28,6,2,4,0,0.362111304429767
2025-12-05,6,1,5,0,0.528855066900505
2025-12-12,6,1,5,0,0.5563775236766137
2025-12-19,6,1,5,0,0.5783648672187335
2025-12-26,6,0,6,0,0.7000304139864695
2025-12-31,6,4,2,0,0.18651391892207603
2026-01-02,6,4,2,0,0.1933702206314737
2026-01-09,6,3,3,0,0.25980744338738027
2026-01-16,6,4,2,0,0.19999999999999996
2026-01-23,6,3,3,0,0.29213434423693146
2026-01-30,6,0,4,2,0.7609900054503631
2026-02-06,6,0,6,0,0.7
2026-02-13,6,0,5,1,0.7000000000000001
2026-02-20,6,0,6,0,0.7
2026-02-27,6,1,4,1,0.5613909252021135
2026-03-06,6,0,4,2,0.7
2026-03-13,6,0,1,5,0.9
2026-03-20,6,0,1,5,0.9
2026-03-27,6,0,6,0,0.7
2026-03-31,6,4,2,0,0.13701891284442014
