date,selected_non_cash_count,buy_now_count,wait_for_pullback_count,do_not_buy_count,sgov_weight
2025-06-06,3,3,0,0,0.3999999999999999
2025-06-13,3,3,0,0,0.3999999999999999
2025-06-20,3,1,2,0,0.3999999999999999
2025-06-27,3,3,0,0,0.3999999999999999
2025-07-11,3,1,2,0,0.3999999999999999
2025-07-18,3,3,0,0,0.3999999999999999
2025-07-25,3,3,0,0,0.3999999999999999
2025-08-01,3,2,1,0,0.3999999999999999
2025-08-08,3,2,1,0,0.3999999999999999
2025-08-15,3,3,0,0,0.39999999999999997
2025-08-22,3,3,0,0,0.3999999999999999
2025-08-29,3,2,1,0,0.3999999999999999
2025-09-05,3,0,3,0,0.3999999999999999
2025-09-12,3,2,1,0,0.3999999999999999
2025-09-19,3,1,2,0,0.3999999999999999
2025-09-26,3,3,0,0,0.3999999999999999
2025-10-03,3,2,1,0,0.3999999999999999
2025-10-10,3,3,0,0,0.3999999999999999
2025-10-17,3,3,0,0,0.3999999999999999
2025-10-24,3,3,0,0,0.3999999999999999
2025-10-31,3,2,1,0,0.3999999999999999
2025-11-07,3,0,3,0,0.3999999999999999
2025-11-14,3,3,0,0,0.39999999999999997
2025-11-21,3,3,0,0,0.39999999999999997
2025-11-28,3,1,2,0,0.3999999999999999
2025-12-05,3,2,1,0,0.3999999999999999
2025-12-12,3,3,0,0,0.3999999999999999
2025-12-19,3,2,1,0,0.3999999999999999
2025-12-26,3,0,3,0,0.3999999999999999
2026-01-02,3,2,1,0,0.3999999999999999
2026-01-09,3,2,1,0,0.3999999999999999
2026-01-16,3,2,1,0,0.3999999999999999
2026-01-23,3,0,3,0,0.3999999999999999
2026-01-30,3,3,0,0,0.39999999999999997
2026-02-06,3,2,1,0,0.3999999999999999
2026-02-13,3,2,1,0,0.3999999999999999
2026-02-20,3,2,1,0,0.3999999999999999
2026-02-27,3,0,3,0,0.39999999999999997
2026-03-06,3,2,1,0,0.3999999999999999
2026-03-13,3,1,2,0,0.39999999999999997
2026-03-20,3,1,2,0,0.39999999999999997
2026-03-27,3,3,0,0,0.39999999999999997
