date,selected_non_cash_count,buy_now_count,wait_for_pullback_count,do_not_buy_count,sgov_weight
2025-06-06,6,6,0,0,0.0
2025-06-13,6,5,0,1,0.0
2025-06-20,6,3,3,0,0.0
2025-06-27,6,5,1,0,0.0
2025-07-11,6,3,3,0,0.0
2025-07-18,6,4,2,0,0.0
2025-07-25,6,6,0,0,0.0
2025-08-01,6,2,4,0,0.0
2025-08-08,6,5,1,0,0.0
2025-08-15,6,6,0,0,0.0
2025-08-22,6,6,0,0,0.0
2025-08-29,6,5,1,0,2.220446049250313e-16
2025-09-05,6,2,4,0,0.0
2025-09-12,6,4,2,0,0.0
2025-09-19,6,3,3,0,0.0
2025-09-26,6,6,0,0,0.0
2025-10-03,6,5,1,0,0.0
2025-10-10,6,3,3,0,0.0
2025-10-17,6,4,2,0,1.1102230246251565e-16
2025-10-24,6,6,0,0,0.0
2025-10-31,6,4,2,0,0.0
2025-11-07,6,1,5,0,0.0
2025-11-14,6,6,0,0,0.0
2025-11-21,6,4,2,0,0.0
2025-11-28,6,3,3,0,0.0
2025-12-05,6,3,3,0,0.0
2025-12-12,6,4,2,0,0.0
2025-12-19,6,5,1,0,0.0
2025-12-26,6,3,3,0,0.0
2026-01-02,6,5,1,0,0.0
2026-01-09,6,3,3,0,0.0
2026-01-16,6,5,1,0,0.0
2026-01-23,6,1,5,0,0.0
2026-01-30,6,3,3,0,0.0
2026-02-06,6,5,1,0,0.0
2026-02-13,6,5,1,0,0.0
2026-02-20,6,4,2,0,0.0
2026-02-27,6,1,5,0,0.0
2026-03-06,6,2,4,0,0.0
2026-03-13,6,1,5,0,0.0
2026-03-20,6,1,5,0,0.0
2026-03-27,6,4,2,0,0.0
