date,selected_non_cash_count,buy_now_count,wait_for_pullback_count,do_not_buy_count,sgov_weight
2025-06-06,0,0,0,0,1.0
2025-06-13,0,0,0,0,1.0
2025-06-20,0,0,0,0,1.0
2025-06-27,0,0,0,0,1.0
2025-06-30,6,6,0,0,0.0
2025-07-11,6,2,4,0,0.4011844990686313
2025-07-18,6,0,5,1,0.7136948877708029
2025-07-25,6,3,3,0,0.21732545027227912
2025-08-01,6,0,3,3,0.7
2025-08-08,6,3,3,0,0.20000000000000007
2025-08-15,6,3,3,0,0.2279883467494217
2025-08-22,6,3,3,0,0.20847941260501224
2025-08-29,6,1,3,2,0.5011091379386394
2025-09-05,6,0,6,0,0.7000000000000001
2025-09-12,6,1,5,0,0.6
2025-09-19,6,1,5,0,0.6
2025-09-26,6,1,5,0,0.6
2025-09-30,6,6,0,0,0.0
2025-10-03,6,1,5,0,0.5500606348572864
2025-10-10,6,0,6,0,0.7302110393106227
2025-10-17,6,0,5,1,0.7122951481185761
2025-10-24,6,0,5,1,0.7015139392820301
2025-10-31,6,1,5,0,0.5421331726412775
2025-11-07,6,0,4,2,0.7005185211842914
2025-11-14,6,3,2,1,0.22992923626852613
2025-11-21,6,0,6,0,0.7242570735945761
2025-11-28,6,0,6,0,0.7135910098341889
2025-12-05,6,2,4,0,0.392931873383741
2025-12-12,6,0,6,0,0.7137971959280556
2025-12-19,6,3,3,0,0.19999999999999996
2025-12-26,6,2,4,0,0.365862578309344
2025-12-31,6,4,2,0,0.16285568558819208
2026-01-02,6,4,2,0,0.16972520351099832
2026-01-09,6,3,3,0,0.243192424871171
2026-01-16,6,4,2,0,0.188666907050134
2026-01-23,6,3,3,0,0.2665559755712128
2026-01-30,6,0,4,2,0.7125088381411886
2026-02-06,6,0,6,0,0.7285853075124984
2026-02-13,6,0,5,1,0.708907270047423
2026-02-20,6,0,6,0,0.7117528746049718
2026-02-27,6,1,4,1,0.5102523787006652
2026-03-06,6,0,4,2,0.7
2026-03-13,6,0,1,5,0.9
2026-03-20,6,0,1,5,0.9
2026-03-27,6,0,6,0,0.7183827664091831
2026-03-31,6,4,2,0,0.167633408890846
