date,selected_non_cash_count,buy_now_count,wait_for_pullback_count,do_not_buy_count,sgov_weight
2025-06-06,6,6,0,0,-2.220446049250313e-16
2025-06-13,6,5,0,1,0.13481890698997323
2025-06-20,6,3,3,0,0.24658117103046379
2025-06-27,6,5,1,0,0.08061955320391179
2025-07-11,6,3,3,0,0.253333069354323
2025-07-18,6,4,2,0,0.1615087538703075
2025-07-25,6,6,0,0,0.0
2025-08-01,6,2,4,0,0.37928616929828723
2025-08-08,6,5,1,0,0.08604347773942878
2025-08-15,6,6,0,0,0.0
2025-08-22,6,6,0,0,0.0
2025-08-29,6,5,1,0,0.0908485213806498
2025-09-05,6,2,4,0,0.4175615213740427
2025-09-12,6,4,2,0,0.16735702991184287
2025-09-19,6,3,3,0,0.25233871754107295
2025-09-26,6,6,0,0,-2.220446049250313e-16
2025-10-03,6,5,1,0,0.08999461780842366
2025-10-10,6,3,3,0,0.22475679266233262
2025-10-17,6,4,2,0,0.16373832708484348
2025-10-24,6,6,0,0,0.0
2025-10-31,6,4,2,0,0.1630840160304231
2025-11-07,6,1,5,0,0.5752651514505258
2025-11-14,6,6,0,0,0.0
2025-11-21,6,4,2,0,0.1381723865155473
2025-11-28,6,3,3,0,0.258151868215831
2025-12-05,6,3,3,0,0.24453553831682195
2025-12-12,6,4,2,0,0.16569280727700053
2025-12-19,6,5,1,0,0.08817638538090677
2025-12-26,6,3,3,0,0.2605318414261748
2026-01-02,6,5,1,0,0.08674849610743463
2026-01-09,6,3,3,0,0.24137835975314514
2026-01-16,6,5,1,0,0.09310637181155224
2026-01-23,6,1,5,0,0.5821445747462863
2026-01-30,6,3,3,0,0.23541240395945306
2026-02-06,6,5,1,0,0.08277742604915805
2026-02-13,6,5,1,0,0.09580336055159289
2026-02-20,6,4,2,0,0.17692479252973606
2026-02-27,6,1,5,0,0.5874915957333665
2026-03-06,6,2,4,0,0.38874499266297313
2026-03-13,6,1,5,0,0.5345396450167426
2026-03-20,6,1,5,0,0.5409829850590172
2026-03-27,6,4,2,0,0.15662035013435927
