date,selected_non_cash_count,buy_now_count,wait_for_pullback_count,do_not_buy_count,sgov_weight
2024-06-07,10,8,2,0,0.0
2024-06-14,10,10,0,0,0.0
2024-06-21,10,10,0,0,0.0
2024-06-28,10,7,3,0,0.0
2024-07-05,10,10,0,0,0.0
2024-07-12,10,10,0,0,0.0
2024-07-19,10,8,2,0,0.0
2024-07-26,10,10,0,0,0.0
2024-08-02,10,10,0,0,2.220446049250313e-16
2024-08-09,10,6,4,0,0.0
2024-08-16,10,10,0,0,0.0
2024-08-23,10,10,0,0,0.0
2024-08-30,10,10,0,0,0.0
2024-09-06,10,5,4,1,0.0
2024-09-13,10,10,0,0,0.0
2024-09-20,10,10,0,0,0.0
2024-09-27,10,10,0,0,0.0
2024-10-04,10,10,0,0,0.0
2024-10-11,10,10,0,0,0.0
2024-10-18,10,10,0,0,-2.220446049250313e-16
2024-10-25,10,8,2,0,0.0
2024-11-01,10,5,5,0,0.0
2024-11-08,10,10,0,0,0.0
2024-11-15,10,8,2,0,0.0
2024-11-22,10,10,0,0,1.1102230246251565e-16
2024-11-29,10,10,0,0,2.220446049250313e-16
2024-12-06,10,10,0,0,0.0
2024-12-13,10,7,3,0,0.0
2024-12-20,10,2,8,0,0.0
2024-12-27,10,4,6,0,0.0
2025-01-03,10,4,5,1,0.0
2025-01-10,10,2,8,0,0.0
2025-01-17,10,5,5,0,0.0
2025-01-24,10,8,2,0,0.0
2025-01-31,10,9,1,0,0.0
2025-02-07,10,9,1,0,0.0
2025-02-14,10,10,0,0,0.0
2025-02-21,10,10,0,0,0.0
2025-02-28,10,6,4,0,0.0
2025-03-07,10,10,0,0,0.0
2025-03-14,10,8,2,0,0.0
2025-03-21,10,10,0,0,0.0
2025-03-28,10,10,0,0,2.220446049250313e-16
2025-04-04,3,0,3,0,1.0
2025-04-11,10,4,6,0,0.0
2025-04-25,10,7,3,0,0.0
2025-05-02,10,10,0,0,0.0
2025-05-09,10,10,0,0,0.0
2025-05-16,10,10,0,0,0.0
2025-05-23,10,10,0,0,0.0
2025-05-30,10,9,1,0,0.0
2025-06-06,10,10,0,0,0.0
2025-06-13,10,10,0,0,0.0
2025-06-20,10,8,2,0,0.0
2025-06-27,10,10,0,0,0.0
2025-07-11,10,7,3,0,0.0
2025-07-18,10,9,1,0,0.0
2025-07-25,10,10,0,0,1.1102230246251565e-16
2025-08-01,10,4,6,0,0.0
2025-08-08,10,10,0,0,0.0
2025-08-15,10,10,0,0,0.0
2025-08-22,10,10,0,0,0.0
2025-08-29,10,10,0,0,0.0
2025-09-05,10,10,0,0,0.0
2025-09-12,10,10,0,0,1.1102230246251565e-16
2025-09-19,10,10,0,0,0.0
2025-09-26,10,10,0,0,0.0
2025-10-03,10,10,0,0,0.0
2025-10-10,10,8,2,0,0.0
2025-10-17,10,8,2,0,0.0
2025-10-24,10,10,0,0,0.0
2025-10-31,10,7,3,0,0.0
2025-11-07,10,6,4,0,0.0
2025-11-14,10,10,0,0,2.220446049250313e-16
2025-11-21,10,4,6,0,0.0
2025-11-28,10,10,0,0,0.0
2025-12-05,10,10,0,0,1.1102230246251565e-16
2025-12-12,10,6,4,0,0.0
2025-12-19,10,10,0,0,0.0
2025-12-26,10,10,0,0,0.0
2026-01-02,10,10,0,0,0.0
2026-01-09,10,10,0,0,0.0
2026-01-16,10,10,0,0,-2.220446049250313e-16
2026-01-23,10,10,0,0,1.1102230246251565e-16
2026-01-30,10,8,2,0,0.0
2026-02-06,10,10,0,0,0.0
2026-02-13,10,10,0,0,0.0
2026-02-20,10,10,0,0,0.0
2026-02-27,10,10,0,0,0.0
2026-03-06,10,2,8,0,0.0
2026-03-13,10,1,9,0,0.0
2026-03-20,10,3,7,0,0.0
