date,selected_non_cash_count,buy_now_count,wait_for_pullback_count,do_not_buy_count,sgov_weight
2020-01-03,0,0,0,0,0.0
2020-01-10,0,0,0,0,0.0
2020-01-17,0,0,0,0,0.0
2020-01-24,0,0,0,0,0.0
2020-01-31,5,1,4,0,0.0
2020-02-07,5,3,2,0,0.0
2020-02-14,5,3,2,0,0.0
2020-02-21,5,2,3,0,0.0
2020-02-28,5,0,2,3,0.0
2020-03-06,5,0,3,2,0.0
2020-03-13,5,0,0,5,0.0
2020-03-20,5,0,0,5,0.0
2020-03-27,5,0,0,5,0.0
2020-03-31,1,0,1,0,0.0
2020-04-03,1,0,1,0,0.0
2020-04-17,1,0,1,0,0.0
2020-04-24,1,1,0,0,0.0
2020-04-30,5,1,4,0,0.0
2020-05-01,5,1,4,0,0.0
2020-05-08,5,2,2,1,0.0
2020-05-15,5,0,4,1,0.0
2020-05-22,5,0,4,1,0.0
2020-05-29,5,0,4,1,0.0
2020-06-05,5,0,3,2,0.0
2020-06-12,5,1,4,0,0.0
2020-06-19,5,4,1,0,0.0
2020-06-26,5,3,2,0,0.0
2020-06-30,5,1,4,0,0.0
2020-07-10,5,1,4,0,0.0
2020-07-17,5,3,2,0,0.0
2020-07-24,5,2,2,1,0.0
2020-07-31,5,4,1,0,0.0
2020-08-07,5,2,3,0,0.0
2020-08-14,5,0,5,0,0.0
2020-08-21,5,0,5,0,0.0
2020-08-28,5,1,4,0,0.0
2020-08-31,4,3,1,0,0.0
2020-09-04,4,0,3,1,0.0
2020-09-11,4,0,3,1,0.0
2020-09-18,4,0,4,0,0.0
2020-09-25,4,0,4,0,0.0
2020-09-30,5,1,4,0,0.0
2020-10-02,5,0,5,0,0.0
2020-10-09,5,1,4,0,0.0
2020-10-16,5,4,1,0,0.0
2020-10-23,5,0,5,0,0.0
2020-10-30,5,0,3,2,0.0
2020-11-06,5,0,5,0,0.0
2020-11-13,5,1,4,0,0.0
2020-11-20,5,3,2,0,0.0
2020-11-27,5,0,5,0,0.0
2020-11-30,5,1,4,0,0.0
2020-12-04,5,2,3,0,0.0
2020-12-11,5,0,5,0,0.0
2020-12-18,5,3,2,0,0.0
2020-12-31,5,3,2,0,0.0
2021-01-08,5,3,2,0,0.0
2021-01-15,5,2,3,0,0.0
2021-01-22,5,1,4,0,0.0
2021-01-29,5,0,3,2,0.0
2021-02-05,5,2,3,0,0.0
2021-02-12,5,4,1,0,0.0
2021-02-19,5,2,3,0,0.0
2021-02-26,5,0,3,2,0.0
2021-03-05,5,1,3,1,0.0
2021-03-12,5,2,3,0,0.0
2021-03-19,5,1,4,0,0.0
2021-03-26,5,0,5,0,1.0
2021-03-31,5,3,2,0,0.0
2021-04-09,5,3,2,0,1.0
2021-04-16,5,2,3,0,0.0
2021-04-23,5,0,5,0,1.0
2021-04-30,5,5,0,0,0.0
2021-05-07,5,3,2,0,0.0
2021-05-14,5,4,1,0,0.0
2021-05-21,5,2,3,0,0.0
2021-05-28,5,1,4,0,0.0
2021-06-04,5,5,0,0,0.0
2021-06-11,5,4,1,0,0.0
2021-06-18,5,0,3,2,1.0
2021-06-25,5,0,4,1,1.0
2021-06-30,5,1,4,0,0.0
2021-07-02,5,1,4,0,1.0
2021-07-09,5,0,5,0,1.0
2021-07-16,5,2,2,1,0.0
2021-07-23,5,3,2,0,0.0
2021-07-30,5,2,3,0,0.0
2021-08-06,5,3,2,0,0.0
2021-08-13,5,2,3,0,0.0
2021-08-20,5,0,5,0,1.0
2021-08-27,5,1,4,0,0.0
2021-08-31,5,2,3,0,0.0
2021-09-03,5,4,1,0,0.0
2021-09-10,5,1,4,0,0.0
2021-09-17,5,0,1,4,1.0
2021-09-24,5,0,4,1,1.0
2021-09-30,4,0,4,0,1.0
2021-10-01,4,0,4,0,1.0
2021-10-08,4,1,3,0,0.0
2021-10-15,4,2,2,0,0.0
2021-10-22,4,2,1,1,0.0
2021-10-29,4,0,3,1,1.0
2021-11-05,4,0,4,0,1.0
2021-11-12,4,0,4,0,1.0
2021-11-19,4,0,1,3,1.0
2021-11-26,4,0,2,2,1.0
2021-11-30,4,0,4,0,1.0
2021-12-03,4,0,2,2,1.0
2021-12-10,4,2,2,0,0.0
2021-12-17,4,0,2,2,1.0
2021-12-31,5,3,2,0,0.0
