date,selected_non_cash_count,buy_now_count,wait_for_pullback_count,do_not_buy_count,sgov_weight
2024-01-05,0,0,0,0,1.0
2024-01-12,0,0,0,0,1.0
2024-01-19,0,0,0,0,1.0
2024-01-26,0,0,0,0,1.0
2024-02-02,0,0,0,0,1.0
2024-02-09,0,0,0,0,1.0
2024-02-16,0,0,0,0,1.0
2024-02-23,0,0,0,0,1.0
2024-03-01,0,0,0,0,1.0
2024-03-08,0,0,0,0,1.0
2024-03-15,0,0,0,0,1.0
2024-03-22,0,0,0,0,1.0
2024-04-05,0,0,0,0,1.0
2024-04-12,0,0,0,0,1.0
2024-04-19,0,0,0,0,1.0
2024-04-26,0,0,0,0,1.0
2024-05-03,0,0,0,0,1.0
2024-05-10,0,0,0,0,1.0
2024-05-17,0,0,0,0,1.0
2024-05-24,0,0,0,0,1.0
2024-05-31,0,0,0,0,1.0
2024-06-07,0,0,0,0,1.0
2024-06-14,0,0,0,0,1.0
2024-06-21,0,0,0,0,1.0
2024-06-28,0,0,0,0,1.0
2024-07-05,0,0,0,0,1.0
2024-07-12,0,0,0,0,1.0
2024-07-19,0,0,0,0,1.0
2024-07-26,0,0,0,0,1.0
2024-08-02,0,0,0,0,1.0
2024-08-09,0,0,0,0,1.0
2024-08-16,0,0,0,0,1.0
2024-08-23,0,0,0,0,1.0
2024-08-30,0,0,0,0,1.0
2024-09-06,0,0,0,0,1.0
2024-09-13,0,0,0,0,1.0
2024-09-20,0,0,0,0,1.0
2024-09-27,0,0,0,0,1.0
2024-09-30,5,5,0,0,0.0
2024-10-04,5,3,2,0,0.0
2024-10-11,5,2,3,0,0.0
2024-10-18,5,2,3,0,1.0
2024-10-25,5,0,3,2,1.0
2024-11-01,5,0,3,2,1.0
2024-11-08,5,2,3,0,1.0
2024-11-15,5,0,5,0,1.0
2024-11-22,5,1,4,0,1.0
2024-11-29,5,2,3,0,0.0
2024-12-06,5,1,1,3,1.0
2024-12-13,5,0,3,2,1.0
2024-12-20,5,0,3,2,1.0
2024-12-27,5,0,3,2,1.0
2024-12-31,5,2,3,0,0.0
2025-01-03,5,3,2,0,1.0
2025-01-10,5,0,4,1,1.0
2025-01-17,5,3,2,0,0.0
2025-01-24,5,4,1,0,1.0
2025-01-31,5,1,4,0,0.0
2025-02-07,5,1,3,1,1.0
2025-02-14,5,3,2,0,0.0
2025-02-21,5,0,5,0,1.0
2025-02-28,5,0,5,0,1.0
2025-03-07,5,0,4,1,1.0
2025-03-14,5,0,3,2,1.0
2025-03-21,5,0,3,2,1.0
2025-03-28,5,0,3,2,1.0
2025-03-31,5,5,0,0,0.0
2025-04-04,5,0,1,4,1.0
2025-04-11,5,1,2,2,0.0
2025-04-25,5,1,4,0,1.0
2025-05-02,5,0,4,1,1.0
2025-05-09,5,0,5,0,1.0
2025-05-16,5,0,5,0,1.0
2025-05-23,5,0,5,0,1.0
2025-05-30,5,0,3,2,1.0
2025-06-06,5,1,4,0,1.0
2025-06-13,5,2,2,1,0.0
2025-06-20,5,0,5,0,1.0
2025-06-27,5,0,3,2,1.0
2025-06-30,5,5,0,0,0.0
2025-07-11,5,3,2,0,0.0
2025-07-18,5,1,3,1,0.0
2025-07-25,5,3,2,0,0.0
2025-08-01,5,1,2,2,0.0
2025-08-08,5,3,2,0,0.0
2025-08-15,5,2,3,0,0.0
2025-08-22,5,2,3,0,0.0
2025-08-29,5,0,2,3,1.0
2025-09-05,5,0,4,1,1.0
2025-09-12,5,1,4,0,1.0
2025-09-19,5,0,5,0,1.0
2025-09-26,5,1,4,0,1.0
2025-09-30,4,4,0,0,0.0
2025-10-03,4,1,3,0,0.0
2025-10-10,4,0,4,0,1.0
2025-10-17,4,0,3,1,1.0
2025-10-24,4,0,3,1,1.0
2025-10-31,4,0,4,0,1.0
2025-11-07,4,0,2,2,1.0
2025-11-14,4,2,1,1,0.0
2025-11-21,4,0,4,0,1.0
2025-11-28,4,0,4,0,1.0
2025-12-05,4,1,3,0,1.0
2025-12-12,4,0,4,0,1.0
2025-12-19,4,2,2,0,0.0
2025-12-26,4,0,4,0,1.0
2025-12-31,5,3,2,0,0.0
2026-01-02,5,3,2,0,0.0
2026-01-09,5,2,3,0,0.0
2026-01-16,5,3,2,0,0.0
2026-01-23,5,2,3,0,1.0
2026-01-30,5,0,4,1,1.0
2026-02-06,5,0,5,0,1.0
2026-02-13,5,0,5,0,1.0
2026-02-20,5,0,5,0,1.0
2026-02-27,5,1,4,0,1.0
2026-03-06,5,0,2,3,1.0
2026-03-13,5,0,1,4,1.0
2026-03-20,5,0,1,4,1.0
